candidate,content_type,channel_id,channel_title,video_id,video_title,video_description,upload_date,duration,interviewer_questions,candidate_answers
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,"Tout le monde n'a pas eula chance d'avoir des parents communistes,lui, c'est sa famille qui était au parti, un héritier, à la fois communiste et journalistede père en fils. Bonjour, Fabien Roussel. Il n'y a pas besoinde creuser beaucoupdans votre environnement familial pour comprendre d'où vous vientcet engagement à gauche. Vous avez grandidans une marmite de gauche.","C'est pas un héritage,c'est pas génétique."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,Vous aimez pasle terme d'héritier.,"Non, on se construit."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,Votre famille.,"J'ai grandi dans un milieudans le Pas-de-Calais à Béthune,Vendin-lès-Béthune, rural."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,Votre pèredans le parti communiste.,"Mon père était élu, ma mère étaitune militante et donc j'ai grandidans un environnement militant, ça, oui,où, avec mon frère, on était gardéspar les grands-parents, parce que mes parentsavaient des réunions le soir, le matin, j'allais avec mon pèredistribuer des tracts à Bridgestone.Avant de me conduire à l'école, on passait à la distributionde tracts à Béthune."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,"Au milieu de cet environnementfamilial militant, le 24 décembre,quand vous étiez enfant,vous alliez à la messe avec votre grand-mère.-Oui, ma grand-mère était croyante, pratiquante. Et d'ailleurs, ma mère, sur ses recommandations, a dû passer par l'église pourle mariage et aller à confesse, alors qu'elle n'était pascroyante, elle. Mais ça fait partie des souvenirs,l'église du village pour Noël ou pour les mariageset les enterrements. Cette église, on y allait souvent.","Vous êtes inscrit dans latradition politique familiale, mais vous avez choisi un combatqui vous est propre, la lutte contre l'apartheid.Tout a commencé au lycée, à la sortie du lycée avecun tract qu'on vous a donné."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,"Oui, c'est venu comme ça.C'était la jeunesse communiste, ils étaient deux,ils distribuaient un tract contre l'apartheidet pour la libération de Nelson Mandela.Je l'ai pris, je l'ai lu avec des copainset puis on y a été sensibles. Et, au fil des mois, on s'estengagés, on a fait le choix d'adhérerà la jeunesse communiste. C'était la démonstrationqu'il fallait aussi s'organiser, qu'il fallaitavoir une organisation pour organiser des réunions,imprimer des tracts, les distribuer, convaincreet puis on a mené des actions.","Vous parlez des actionsauxquelles vous avez participé dans ce combat contre l'apartheid.Il y en a eu des musclées. On va voir une archive d'unede ces actions, c'était en 1987 à l'ambassaded'Afrique du Sud à Paris. Les manifestants scandent""Apartheid, hors la loi"". ..."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,"Là, c'est l'entréede l'ambassade, qui avait été un peu saccagéepar des militants des jeunesses communistes.","Oui, c'était pour la libération de Pierre-AndréAlbertini, emprisonné là-bas. Ca faisait partie des opérationscoup-de-poing qu'on a pu mener pour donner de la lisibilitéà notre combat. On a aussi envahi le ministèredes Affaires étrangères."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,Ah oui ? Comment vous vous y êtes pris ?,Je vais pas vous donner le secret.
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,Par une porte d'entrée cachée ?,"On avait des opérations comme ça, on arrivait par petits groupes,il fallait pas être nombreux. On a fait aussi des opérationscoup-de-poing pour l'emploi. Je me souviensd'avoir envahi le magasin Fauchon, place de la Madeleine,le magasin des riches, où on achètela botte de poireauxà 30 euros le kilo."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,"A cette occasion,vous avez fini au poste.","C'est là où je me suisfait embarquer par les CRS. C'estdes victoires qui marquent une existence. Nelson Mandela,on l'a libéré, tous ceux qui ont participé à cette luttepeuvent dire ""j'y étais""."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,Vous gardez quel souvenirdu 11 février 1990 ?,"Bah, je me souviens de Nelson et Winnie Mandela,main dans la main et Nelson le poing levé sortir de sa prisonavec cette foule rassemblée."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,Ca vous a fait quoi de voir cette image ?,"Rien que d'en parler, là, j'ai des frissons, je m'en souvienstoujours et c'est fort. C'était l'aboutissementd'un combat, c'était un homme qui retrouvait sa liberté après 26 ans, 27 ansd'emprisonnement. C'était le plus vieux prisonnierpolitique du monde et c'était le combat pourla liberté d'un peuple qui était opprimé dans son propre pays. Je m'en souviendrai toujours."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,"Il y a chez vous un autre héritagefamilial, c'est le journalisme.","Oui et c'est aussiparce que j'avais... Donc j'étais indignétous les jours de ce que je voyaisdans l'actualité, j'étais engagé contre l'apartheid. Je voulais donner un prolongementà mon engagement par le métier de journaliste avec l'enviede dire la vérité. Je voulais faire exploser la vérité autour de moi,dénoncer les injustices."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,Le journaliste militant.,"Le journalistemilitant, engagé. Pour moi,tous les journalistes sont engagés. Il y aLe Figaro et L'Humanité et des journalistesengagés des deux côtés."
roussel,interview,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP,h5xscwLARkw,"Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord | Emois et moi","Fabien Roussel, député ""Gauche démocrate et républicaine"" du Nord. Tout le monde n'a pas eu la chance d'avoir des parents communistes ! Lui, c'est toute sa famille ou presque qui était au parti. Un héritier en quelque sorte: communiste et journaliste de père en fils.

Tous les jours sur l'antenne de LCP, Marion Becker ou Clément Méric dressent le portrait d´un député. Un entretien en face à face, dans une ambiance intimiste pour découvrir les raisons de son engagement. De sa vie d´avant aux habits de député.

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !
Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Emoisetmoi",2021-03-03 23:00:08,12:34,"Votre père a été correspondantà L'Humanité, au Vietnam, où vous l'avez suivi,vous avez vécu pendant deux ans.","Il a été correspondant au Vietnamune dizaine d'années. J'ai vécu avec lui pendant 2 ans là-bas,à Hanoï, dans les années 83, 84."
